,date,time,timestamp,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2016-12-01,0.0,1480546800.0,0.0,514,1008,2,-3,2,20,266,0.5,95,2,1020,100
1,2016-12-01,60.0,1480550400.0,0.0,514,1008,2,-3,2,21,266,0.2,95,2,1020,100
2,2016-12-01,120.0,1480554000.0,0.0,514,1008,2,-3,2,21,266,0.2,94,2,1019,100
3,2016-12-01,180.0,1480557600.0,0.0,514,1008,2,-3,2,22,266,0.3,94,2,1018,100
4,2016-12-01,240.0,1480561200.0,0.0,514,1008,2,-2,2,20,266,0.2,94,5,1018,100
5,2016-12-01,300.0,1480564800.0,0.0,514,1008,2,-2,2,18,122,0.0,95,7,1017,100
6,2016-12-01,360.0,1480568400.0,0.0,514,1008,2,-2,2,16,122,0.0,95,10,1017,100
7,2016-12-01,420.0,1480572000.0,0.0,514,1008,3,-2,3,17,122,0.0,95,10,1016,100
8,2016-12-01,480.0,1480575600.0,0.0,514,1008,3,-1,3,19,296,0.7,94,9,1016,100
9,2016-12-01,540.0,1480579200.0,0.0,514,1008,3,-1,3,21,296,0.9,94,9,1015,100
10,2016-12-01,600.0,1480582800.0,0.0,514,1008,4,-1,4,23,296,0.4,93,9,1014,100
11,2016-12-01,660.0,1480586400.0,0.0,514,1008,4,-1,4,26,122,0.0,93,10,1014,100
12,2016-12-01,720.0,1480590000.0,0.0,514,1008,4,-1,4,28,122,0.0,92,10,1013,100
13,2016-12-01,780.0,1480593600.0,0.0,514,1008,4,-1,4,27,122,0.0,92,10,1012,100
14,2016-12-01,840.0,1480597200.0,0.0,514,1008,4,-1,4,27,122,0.0,92,10,1011,100
15,2016-12-01,900.0,1480600800.0,0.0,514,1008,4,-1,4,26,122,0.1,92,10,1010,100
16,2016-12-01,960.0,1480604400.0,0.0,514,1008,5,-0,4,25,122,0.0,91,10,1009,100
17,2016-12-01,1020.0,1480608000.0,0.0,514,1008,5,0,5,23,122,0.0,91,10,1009,100
18,2016-12-01,1080.0,1480611600.0,0.0,514,1008,5,1,5,21,122,0.0,91,10,1008,100
19,2016-12-01,1140.0,1480615200.0,0.0,514,1008,5,1,5,25,122,0.0,90,10,1007,100
20,2016-12-01,1200.0,1480618800.0,0.0,514,1008,5,1,5,29,122,0.0,90,10,1006,100
21,2016-12-01,1260.0,1480622400.0,0.0,514,1008,6,1,6,33,122,0.0,89,10,1005,100
22,2016-12-01,1320.0,1480626000.0,0.0,514,1008,6,1,6,34,122,0.0,89,10,1004,100
23,2016-12-01,1380.0,1480629600.0,0.0,514,1008,6,1,6,34,122,0.0,89,10,1003,100
24,2016-12-02,0.0,1480633200.0,0.2,515,1007,6,1,6,35,122,0.0,89,10,1003,100
25,2016-12-02,60.0,1480636800.0,0.2,515,1007,5,0,6,34,122,0.0,87,10,1003,82
26,2016-12-02,120.0,1480640400.0,0.2,515,1007,5,-0,5,34,116,0.0,85,10,1003,64
27,2016-12-02,180.0,1480644000.0,0.2,515,1007,5,-0,5,34,116,0.0,84,10,1003,47
28,2016-12-02,240.0,1480647600.0,0.2,515,1007,4,-1,4,32,116,0.0,84,10,1004,64
29,2016-12-02,300.0,1480651200.0,0.2,515,1007,3,-2,4,30,122,0.0,85,10,1005,82
30,2016-12-02,360.0,1480654800.0,0.2,515,1007,3,-3,3,27,122,0.0,85,10,1006,100
31,2016-12-02,420.0,1480658400.0,0.2,515,1007,3,-2,3,27,122,0.0,85,7,1008,100
32,2016-12-02,480.0,1480662000.0,0.2,515,1007,3,-2,3,27,338,0.1,85,5,1010,100
