,date,time,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2015-04-01,0.0,0.0,388,1164,4,-2,4,30,116,0.0,73,10,997,55
1,2015-04-01,60.0,0.0,388,1164,3,-2,4,30,116,0.0,73,10,997,63
2,2015-04-01,120.0,0.0,388,1164,3,-2,3,31,119,0.0,72,10,998,71
3,2015-04-01,180.0,0.0,388,1164,3,-3,3,31,119,0.0,71,10,998,79
4,2015-04-01,240.0,0.0,388,1164,3,-2,3,30,119,0.0,70,10,999,86
5,2015-04-01,300.0,0.0,388,1164,3,-2,3,29,122,0.0,70,10,1000,93
6,2015-04-01,360.0,0.0,388,1164,3,-2,4,27,122,0.0,69,10,1001,100
7,2015-04-01,420.0,0.0,388,1164,4,-1,4,30,122,0.0,68,10,1002,95
8,2015-04-01,480.0,0.0,388,1164,5,-1,5,33,119,0.0,66,10,1003,90
9,2015-04-01,540.0,0.0,388,1164,5,-0,5,35,119,0.0,64,10,1003,85
10,2015-04-01,600.0,0.0,388,1164,6,1,6,35,119,0.0,61,10,1004,90
11,2015-04-01,660.0,0.0,388,1164,7,2,7,35,122,0.0,58,10,1005,95
12,2015-04-01,720.0,0.0,388,1164,7,3,7,34,122,0.0,54,10,1005,100
13,2015-04-01,780.0,0.0,388,1164,7,2,7,34,122,0.0,56,10,1005,100
14,2015-04-01,840.0,0.0,388,1164,7,2,7,34,122,0.0,58,10,1006,100
15,2015-04-01,900.0,0.0,388,1164,6,2,7,34,122,0.0,60,10,1006,100
16,2015-04-01,960.0,0.0,388,1164,5,1,5,30,122,0.0,62,10,1007,79
17,2015-04-01,1020.0,0.0,388,1164,4,-1,4,27,116,0.0,65,10,1007,58
18,2015-04-01,1080.0,0.0,388,1164,3,-2,3,23,116,0.0,68,10,1008,37
19,2015-04-01,1140.0,0.0,388,1164,3,-2,3,23,116,0.0,69,10,1009,33
20,2015-04-01,1200.0,0.0,388,1164,2,-3,2,23,113,0.0,71,10,1009,29
21,2015-04-01,1260.0,0.0,388,1164,2,-3,2,22,113,0.0,72,10,1009,25
22,2015-04-01,1320.0,0.0,388,1164,2,-3,2,22,113,0.0,76,10,1010,31
23,2015-04-01,1380.0,0.0,388,1164,1,-4,1,21,116,0.0,80,10,1010,36
24,2015-04-02,0.0,0.0,386,1166,1,-4,1,21,116,0.0,84,10,1011,42
25,2015-04-02,60.0,0.0,386,1166,1,-4,1,18,116,0.0,85,10,1010,42
26,2015-04-02,120.0,0.0,386,1166,0,-4,0,16,116,0.0,86,10,1010,41
27,2015-04-02,180.0,0.0,386,1166,-0,-4,0,13,116,0.0,86,10,1009,41
28,2015-04-02,240.0,0.0,386,1166,1,-3,1,13,116,0.0,81,10,1008,56
29,2015-04-02,300.0,0.0,386,1166,2,-2,2,13,119,0.0,77,10,1007,71
30,2015-04-02,360.0,0.0,386,1166,2,-1,3,13,119,0.0,72,10,1006,86
31,2015-04-02,420.0,0.0,386,1166,3,-0,3,15,119,0.0,74,10,1005,90
32,2015-04-02,480.0,0.0,386,1166,4,0,4,16,317,0.6,75,9,1004,95
33,2015-04-02,540.0,0.0,386,1166,5,1,5,18,317,0.8,77,9,1002,100
34,2015-04-02,600.0,0.0,386,1166,5,1,5,21,317,0.4,76,9,1002,100
35,2015-04-02,660.0,0.0,386,1166,5,0,5,23,122,0.0,76,10,1002,100
36,2015-04-02,720.0,0.0,386,1166,5,-0,5,26,122,0.0,75,10,1002,100
37,2015-04-02,780.0,0.0,386,1166,4,-0,4,27,122,0.0,74,10,1002,94
38,2015-04-02,840.0,0.0,386,1166,4,-1,4,28,119,0.0,74,10,1003,88
39,2015-04-02,900.0,0.0,386,1166,4,-1,4,30,119,0.0,74,10,1004,82
40,2015-04-02,960.0,0.0,386,1166,3,-2,3,25,119,0.0,78,10,1005,65
41,2015-04-02,1020.0,0.0,386,1166,2,-3,2,21,116,0.0,82,10,1007,47
42,2015-04-02,1080.0,0.0,386,1166,1,-3,1,16,116,0.0,87,10,1009,29
43,2015-04-02,1140.0,0.0,386,1166,1,-4,1,18,116,0.0,86,10,1009,33
44,2015-04-02,1200.0,0.0,386,1166,1,-4,1,19,116,0.0,86,10,1010,36
45,2015-04-02,1260.0,0.0,386,1166,1,-5,1,21,116,0.0,86,10,1011,39
46,2015-04-02,1320.0,0.0,386,1166,1,-4,1,20,116,0.0,86,10,1011,54
47,2015-04-02,1380.0,0.0,386,1166,1,-4,1,20,119,0.0,86,10,1012,68
48,2015-04-03,0.0,0.1,384,1168,1,-4,1,20,119,0.0,86,10,1013,83
49,2015-04-03,60.0,0.1,384,1168,1,-4,1,21,119,0.0,86,10,1013,89
50,2015-04-03,120.0,0.1,384,1168,2,-4,2,23,326,0.0,85,10,1014,94
51,2015-04-03,180.0,0.1,384,1168,2,-4,2,24,326,0.0,85,10,1014,100
52,2015-04-03,240.0,0.1,384,1168,2,-3,2,24,326,0.0,82,10,1015,100
53,2015-04-03,300.0,0.1,384,1168,3,-2,3,23,122,0.0,80,10,1015,100
54,2015-04-03,360.0,0.1,384,1168,3,-2,3,22,122,0.0,77,10,1016,100
55,2015-04-03,420.0,0.1,384,1168,4,-1,4,23,122,0.0,73,10,1017,87
56,2015-04-03,480.0,0.1,384,1168,4,-0,4,24,116,0.0,69,10,1017,75
57,2015-04-03,540.0,0.1,384,1168,5,0,5,26,116,0.0,65,10,1017,62
58,2015-04-03,600.0,0.1,384,1168,5,1,5,25,116,0.0,61,10,1017,65
59,2015-04-03,660.0,0.1,384,1168,6,2,6,25,119,0.0,58,10,1017,67
60,2015-04-03,720.0,0.1,384,1168,7,3,7,25,119,0.0,54,10,1017,69
61,2015-04-03,780.0,0.1,384,1168,7,3,7,24,119,0.0,56,10,1016,75
62,2015-04-03,840.0,0.1,384,1168,6,2,6,23,119,0.0,57,10,1016,81
63,2015-04-03,900.0,0.1,384,1168,6,2,6,22,119,0.0,58,10,1015,87
64,2015-04-03,960.0,0.1,384,1168,5,1,5,18,119,0.0,65,10,1016,68
65,2015-04-03,1020.0,0.1,384,1168,3,0,4,14,116,0.0,73,10,1016,50
66,2015-04-03,1080.0,0.1,384,1168,2,-1,2,10,116,0.0,80,10,1016,31
67,2015-04-03,1140.0,0.1,384,1168,2,-1,2,10,116,0.0,83,10,1016,22
68,2015-04-03,1200.0,0.1,384,1168,1,-2,2,10,113,0.0,86,10,1016,14
69,2015-04-03,1260.0,0.1,384,1168,1,-2,1,10,113,0.0,89,10,1016,5
70,2015-04-03,1320.0,0.1,384,1168,1,-2,1,11,113,0.0,90,10,1016,11
71,2015-04-03,1380.0,0.1,384,1168,1,-2,1,11,113,0.0,91,10,1016,18
72,2015-04-04,0.0,0.0,382,1169,1,-2,1,11,113,0.0,91,10,1015,25
73,2015-04-04,60.0,0.0,382,1169,0,-3,1,11,113,0.0,94,7,1015,36
74,2015-04-04,120.0,0.0,382,1169,-0,-3,0,10,260,0.0,96,3,1015,48
75,2015-04-04,180.0,0.0,382,1169,-1,-4,-1,10,260,0.0,98,0,1015,60
76,2015-04-04,240.0,0.0,382,1169,-0,-3,0,10,260,0.0,93,3,1015,49
77,2015-04-04,300.0,0.0,382,1169,1,-3,1,11,116,0.0,88,7,1015,38
78,2015-04-04,360.0,0.0,382,1169,1,-2,2,11,116,0.0,84,10,1015,27
79,2015-04-04,420.0,0.0,382,1169,3,0,3,12,116,0.0,72,10,1014,21
80,2015-04-04,480.0,0.0,382,1169,5,2,5,12,113,0.0,61,10,1014,15
81,2015-04-04,540.0,0.0,382,1169,7,5,7,13,113,0.0,50,10,1014,9
82,2015-04-04,600.0,0.0,382,1169,8,5,8,12,113,0.0,46,10,1014,20
83,2015-04-04,660.0,0.0,382,1169,8,6,8,12,116,0.0,42,10,1014,32
84,2015-04-04,720.0,0.0,382,1169,9,7,9,12,116,0.0,38,10,1014,44
